HITId,short_file_name,vote,condition_num,workerid_hash
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,0,22,w_7485895068211646176
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,1,26,w_7485895068211646176
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-1,33,w_7485895068211646176
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-3,6,w_7485895068211646176
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,1,12,w_7485895068211646176
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-3,28,w_7485895068211646176
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,1,37,w_7485895068211646176
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,2,27,w_7485895068211646176
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-3,26,w_24898095674446538
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_24898095674446538
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-2,33,w_24898095674446538
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_24898095674446538
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-3,27,w_24898095674446538
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-2,22,w_24898095674446538
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-3,6,w_24898095674446538
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_24898095674446538
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M4024.wav,-2,24,w_1871628393169974790
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F7436.wav,-2,36,w_1871628393169974790
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3B19.wav,-3,19,w_1871628393169974790
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F6D29.wav,-3,29,w_1871628393169974790
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3614.wav,-2,14,w_1871628393169974790
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F5808.wav,-1,8,w_1871628393169974790
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3412.wav,-2,12,w_1871628393169974790
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M2F07.wav,-2,7,w_1871628393169974790
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M2F07.wav,-3,7,w_11104263346148650946
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M4024.wav,-3,24,w_11104263346148650946
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F7436.wav,-1,36,w_11104263346148650946
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3412.wav,-1,12,w_11104263346148650946
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3B19.wav,-2,19,w_11104263346148650946
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3614.wav,-1,14,w_11104263346148650946
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F5808.wav,-1,8,w_11104263346148650946
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F6D29.wav,-3,29,w_11104263346148650946
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M4024.wav,-3,24,w_5359977347968220107
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F6D29.wav,-3,29,w_5359977347968220107
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3412.wav,-2,12,w_5359977347968220107
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3614.wav,-2,14,w_5359977347968220107
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F5808.wav,-2,8,w_5359977347968220107
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F7436.wav,-3,36,w_5359977347968220107
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3B19.wav,-2,19,w_5359977347968220107
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M2F07.wav,-2,7,w_5359977347968220107
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F7436.wav,-2,36,w_4718226090970434892
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M2F07.wav,-2,7,w_4718226090970434892
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2M3614.wav,-1,14,w_4718226090970434892
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F5808.wav,-1,8,w_4718226090970434892
3YLPJ8OXYCKX916XFF0KTWU8BTUX4K,EE2F6D29.wav,-3,29,w_4718226090970434892
